"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
62,M. P. E. B. COLONY,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","6,40,00,000","6,40,00,000","8,000","12,000"
63,MORENA  A . B.  LINK ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","15,00,00,000","15,00,00,000","25,000","37,500"
64,MOTI JHAL (A. B. ROAD SE DOOR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","6,40,00,000","6,40,00,000","10,000","15,000"
65,MURTI KARKHANA ROAD  MOTI ZEEL SE  I. T. PARK TAK,"19,000","28,500","19,000","32,000","26,200","24,600","23,000","52,500","50,900","49,300","25,600","42,000","10,00,00,000","10,00,00,000","19,000","28,500"
66,NEW FROUIT MANDI,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
67,P.H.E. COLONY,"16,800","25,200","16,800","29,800","24,000","22,400","20,800","49,200","47,600","46,000","23,840","39,360","8,00,00,000","8,00,00,000","16,800","25,200"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gird",,,,,,,,,,,,,,,,,
68,"RAJMAN,SURAJ NAGAR,SHIVNAGAR SHIV SHAKTI NAGAR COLONY SECHETI PETROL PUMP KE SAMNE SHANKARPUR, ROAD SE DOOR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","10,00,00,000","10,00,00,000","15,000","22,500"
