"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
490,"SAKET NAGAR, NEW SAKET NAGAR,, BIRHKAHA PULI KA BADA,ASHOK VIHAR COLONY,CHAMDA MIL, DURGAPURI COLONY,ROAD CHODKAR","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,80,00,000","12,80,00,000","20,000","30,000"
491,"SANYOG APARTMENT (DR. RAJENDRA PRASAD COLONY), RAJENDRA PRASAD COLONY","22,000","33,000","22,000","35,000","29,200","27,600","26,000","57,000","55,400","53,800","28,000","45,600","18,92,00,000","18,92,00,000","22,000","33,000"
492,TANSEN ROAD HAZIRA  TAK,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","35,20,00,000","35,20,00,000","40,000","60,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 31, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
493,malibag gadraula nu relve colony relve colony gayatri nagar kanti nagar ganesh bihar colony achalnath rupa residency(kantinagar),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","20,00,00,000","20,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 32, Tehsil : Gird",,,,,,,,,,,,,,,,,
494,CITYMALL,"88,000","88,000","88,000","1,01,000","95,200","93,600","92,000","1,56,000","1,54,400","1,52,800","87,091","97,977","88,00,00,000","88,00,00,000","88,000","88,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 32, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
495,DAFRAN SARAY COLONY,"32,000","48,000","32,000","45,000","39,200","37,600","36,000","72,000","70,400","68,800","36,000","57,600","32,00,00,000","32,00,00,000","32,000","48,000"
496,"GANDHI NAGAR SAMPURN COLONY, KUSHAL NAGAR COLONY, NEW KUSHAL NAGAR COLONY, DIFENCE VIHAR COLONY","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","18,04,00,000","18,04,00,000","30,000","45,000"
497,"LAXMI BAI COLONY (M. L. B. MAIN ROAD CHODKAR),BADI GANGADAS KI SHALA LAXMNI BAI COLONY KE PASS","32,000","48,000","32,000","45,000","39,200","37,600","36,000","72,000","70,000","68,800","36,000","57,600","23,20,00,000","23,20,00,000","32,000","48,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
498,"M.L.B. ROAD SE HATKAR SHINDE KI CHAWANI BHARGAV VAKIL KI GALI, LEVAR COURT KE PICHE KUSHWAH MOHALLA,PETROL PAMP KE PICHE RATIRAM KUSHWAH KI GALI, NOGAJA
MOHALLA, PARASHAR COLONY","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","23,20,00,000","23,20,00,000","30,000","45,000"
499,"MAHARANI LAXMI BAI ROAD, SHINDE KI CHAWANI SE PADAV TAK, LAXMI BAI ROAD CHHAPARWALA PUL SE GURUDWARA HOTE HUY PADAV TAK","60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","32,80,00,000","32,80,00,000","60,000","90,000"
500,"MARI MATA MEN ROAD M,L.B. ROAD SE HATKAR","40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","23,60,00,000","23,60,00,000","40,000","60,000"
501,"MARIMATA, MAHALGAON,JWALA PRASAD KA PURA (RAMTAPURA), KUSHWAH MOHALLA (RAMTAPURA), KUSHWAH MOHALLA CHOTI GANGADAS KI SHALA NERO GEJ SE LAGI COLONY,CHOTA LAXMANPURA MOHALLA (MAIN ROAD CHODKAR)","35,000","52,500","35,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","14,40,00,000","14,40,00,000","35,000","52,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 32, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
502,P.H.E. COLONY,"16,800","25,200","16,800","29,800","24,000","22,400","20,800","49,200","47,600","46,000","23,840","39,360","16,80,00,000","16,80,00,000","16,800","25,200"
503,PADAV THANA COLONY,"32,000","48,000","32,000","45,000","39,200","37,600","36,000","72,000","70,400","68,800","36,000","57,600","32,00,00,000","32,00,00,000","32,000","48,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 32, Tehsil : Gird",,,,,,,,,,,,,,,,,
504,PHOOLBAG CHORHE SE SAI BABA KE MANDIR TAK MAIN ROAD PAR,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","28,00,00,000","28,00,00,000","50,000","75,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 32, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
505,"PREM NAGAR COLONY,CHANDRA NAGAR,NEW CHANDRA NAGAR COLONY,DWARIKAPURI COLONY, JAGMAYA","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","18,92,00,000","18,92,00,000","30,000","45,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
506,"RAVI NAGAR COLONY, (GDA KE PICHE) VIKAS NAGAR COLONY, HIND COLONY, KHEDAPATI COLONY, NEW KHEDAPATI COLONY, PHOOLBAG CHORHE SE SAI BABA KE MANDIR TAK MAIN ROAD SE HATKAR","35,000","52,500","35,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","21,12,00,000","21,12,00,000","35,000","52,500"
507,SAI BABA MANDIR SE KHAWAJA SAHAB KE MOD TAK MAIN ROAD PAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","21,60,00,000","21,60,00,000","40,000","60,000"
508,SAI BABA MANDIR SE KHAWAJA SAHAB KE MOD TAK MAIN ROAD SE HATKAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","16,00,00,000","16,00,00,000","30,000","45,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 33, Tehsil : Gird",,,,,,,,,,,,,,,,,
509,"LAXMAN TALAIYA,HANUMAN GHATI, KILE KI TARAI,","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","8,00,00,000","8,00,00,000","15,000","22,500"
510,NOGAJA ROAD,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","28,00,00,000","28,00,00,000","40,000","60,000"
511,"NOGAJA ROAD KI GALIYA,AASMANI MATA,KHALLSIPURA,","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","11,20,00,000","11,20,00,000","20,000","30,000"
512,"SHINDE KI CHAWANI (ROAD SE ANDAR),RAM KA BADA (ROAD SE ANDAR),BABAL HOUSE SHINDE KI CHAWANI","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","11,20,00,000","11,20,00,000","20,000","30,000"
513,SINDE KI CHHAWANI CHORAHE SE RAMDAS GNATI MEN ROAD,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","36,80,00,000","36,80,00,000","50,000","75,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
514,BHARAT TAKIZ ROAD,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","32,00,00,000","32,00,00,000","50,000","75,000"
515,CHAPPAR WALA PUL SUDARSAN HOTEL KE SAMNE CHANDOLKAR KA BADA EVAM USSE LAGA KSHETRA ROAD SE HATKAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","36,80,00,000","36,80,00,000","40,000","60,000"
516,"CHHAPPAR WALA PUL SUDARSHAN HOTAL KE PICHE KI GALIYA,JARI PATKA NO 1,2,3  ROAD SE HATKAR","40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","36,80,00,000","36,80,00,000","40,000","60,000"
517,"GHUDCHADI,DHOBI GHAT (MAIN ROAD SE ANDAR),DHOBI WALA CHOK (MAIN ROAD SE ANDAR)","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","11,20,00,000","11,20,00,000","15,000","22,500"
518,"JALAL KHAN KI GOTH, SUBHASH PARK","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,80,00,000","16,80,00,000","20,000","30,000"
519,"KAMAL SINGH KA BAG NAHAR PATTA KUMHARO KA MOHALLA,KAMAL SINGH KA BAG, SCHOOL WALI GALI","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","11,20,00,000","11,20,00,000","25,000","37,500"
520,KARNAL SAHAB KI DYODI (MAIN ROAD SE HATKAR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","11,20,00,000","11,20,00,000","20,000","30,000"
521,KARNAL SAHAB KI DYODI (MAIN ROAD),"35,000","52,500","35,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","18,40,00,000","18,40,00,000","35,000","52,500"
522,"SHINDE KI CHAWANI (MAIN ROAD CHODKAR),SHINDE KA BADA (MAIN ROAD CHODKAR), AADARSH COLONY, BHARAT TAKIZ KE PHICHE, ASHOK MOHALLA,KAMAL SINGH KA BAG BADE KUAA KI GALI,LAXMAMI HOTAL KA CHOK,PARDI MOHALLA, TOMAR WALI GALI, SHIVAY RESIDENCY-1&2 (ALIJABAAG COLONY) ,RAMBAG COLONY,HANUMAN GALI,NAGRAJ KA BADA,MATA WALI GALI,ISAI MOHALLA,ALLIJA BAG COLONY","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,40,00,000","12,40,00,000","25,000","37,500"
523,SHINDE KI CHAWANI CHORAHE SE CHHAPPAR PUL TAK MAIN ROAD PAR,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","36,80,00,000","36,80,00,000","50,000","75,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
524,SHINDE KI CHAWANI CHORAHE SE RAMDAS GHALI TAK MAIN ROAD PAR,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","36,80,00,000","36,80,00,000","50,000","75,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 35, Tehsil : Gird",,,,,,,,,,,,,,,,,
525,ANKUR HOSPITAL WALI GALI,"21,600","32,400","21,600","34,600","28,800","27,200","25,600","56,400","54,800","53,200","27,680","45,120","21,60,00,000","21,60,00,000","21,600","32,400"
526,"GAST KA TAJIYA SE CHHAPR WALA PUL TAK - GAST KA TAJIYA,KAJAL TAKIZ,PHALKA BAZAR MAN ROAD","75,000","1,12,500","75,000","88,000","82,200","80,600","79,000","1,36,500","1,34,900","1,33,300","70,400","1,09,200","48,00,00,000","48,00,00,000","75,000","1,12,500"
527,JIWAJI GANJ ROAD PAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","24,00,00,000","24,00,00,000","40,000","60,000"
528,KARMEL KANVENT ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","18,40,00,000","18,40,00,000","25,000","37,500"
529,KARNAL SAHAB KI DYODI MAIN ROAD,"35,000","52,500","35,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","18,40,00,000","18,40,00,000","35,000","52,500"
530,NAI SARAK MAIN ROAD,"80,000","1,20,000","80,000","93,000","87,200","85,600","84,000","1,44,000","1,42,400","1,40,800","74,400","1,15,200","44,00,00,000","44,00,00,000","80,000","1,20,000"
531,"NAI SARAK SE HATKAR KAILASH TAKIJ KE MOD TAK,SHEKH KI BAGIYA,BANK COLONY,JOHARI COLONY,JOHARI PAYGA,BHANDO WALI GALI,NEW SHANTI NAGAR,AAPTE KI PAYGA,BRAJ VIHAR COLONY,BAWAN PAYGA,TELI KI BAJARIYA,NAKKSHA NO. 2,ATH PAHALU AKHARA,NALBANDO KA MOHALLA IN SE LGA CHETRA","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","17,60,00,000","17,60,00,000","30,000","45,000"
532,PATANKAR KA BADA,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
533,"SWARN REKHA NALE SE LGA CHETRA, JIWAJIGANJ PUL SE KARMEL KANVENT TAK,NALA KINARA,RASSI WALI MOHALLA, DALIYA WALA MOHALLA, BANNE KHAN KA BADA,BHOIYO KA MOHALLA,SHANTI NAGAR,TAK WALI BAGIYA,","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","15,00,00,000","15,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
534,phaalaka baajaar phaalke kee goth mukhya rod se andar baavale ka paayaga bada bhaee ka akhaada chitragupta ganj galagale ka baada javaahar sinh ka paayaga sirakee vaala mohalla soobe kee goth shaastree nagar notaree kolonee,"35,000","52,500","35,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","24,40,00,000","24,40,00,000","35,000","52,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 36, Tehsil : Gird",,,,,,,,,,,,,,,,,
535,"GANDE WALI ROAD,DHOBI GHAT (MAIN ROAD PAR),BAKRA MANDI BASTI (MAIN ROAD PAR)","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","15,00,00,000","15,00,00,000","25,000","37,500"
536,"GENDE WALI SARAK ROAD SE HATKAR,KUMHARO KA MOHALLA, KARIGARO KA MOHALLA,DHOBI GHAT (MAIN ROAD SE HATKAR)SHRI KRISNA MANDIR GALI, BAKRA MANDI BASTI (MAIN ROAD SE HATKAR), HARIJAN BASTI","18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","12,00,00,000","12,00,00,000","18,000","27,000"
537,JALAL KHAN KI GOTH,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,80,00,000","16,80,00,000","20,000","30,000"
538,JIWAJI GANJ MAIN ROAD,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","27,00,00,000","27,00,00,000","40,000","60,000"
539,"JIWAJI GANJ MAIN ROAD SE HATKAR,P.
G.B. GALI,SIKARWARI MOHALLA,SUBE KI PAYGA","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","19,50,00,000","19,50,00,000","25,000","37,500"
540,NEW SHANTI NAGAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","20,00,00,000","20,00,00,000","30,000","45,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
541,"A.B. ROAD SE HATKAR KSHETRA, PURANI RAIL PATTI, SHAMSHAN
ROAD, AKATA COLONY, AMAAN KA PURA, TITURIYA COLONY, NIMBAJI KI KHOH, DADAWADI KE PICHE, DHAN MIL MOHALLA, KABRISTAN BASTI, KHAYAJA UMRAO KI BASTI, KUSHWAH MOHALLA, MEHARA TALEYA, JAGRATI NAGAR, NEW JAGRATI NAGAR, SATI COLONY, TAYAR WALI GALI, SANDA SANDAY KI BAGIYA, KAMLA NAGAR, KOLIYO KA MOHALLA, BABA KI BAGIYA TAK","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","9,60,00,000","9,60,00,000","20,000","30,000"
542,"KATI GHATI MAIN ROAD, DADA MODI KA BADA","35,000","52,500","30,000","48,000","42,200","40,600","39,000","76,500","74,900","73,300","38,400","61,200","20,00,00,000","20,00,00,000","35,000","52,500"
543,LAXMIGANJ ROAD PAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","20,00,00,000","20,00,00,000","30,000","45,000"
544,"NAI AVM PURANI SABJI MANDI,SANJAY NAGAR","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,50,00,000","12,50,00,000","20,000","30,000"
545,"SANJAY NAGAR SE LAGA KSHETRA, MULLA JI KI KHO, NAYAPURA BASTI, MADHO NAGAR GATE NO. 1, 2, 3 , BAJRANG COLONY, BIHARI GI KI BAGIYA, SAHIBA KI BAGIYA, IDGAHA KI BASTI BADA, KALI MATA MULADAS KI KHO BAGIYA","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","41,200","7,50,00,000","7,50,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 37, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
546,TIGHRA ROAD GOL PAHADIYA SE ANGE,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","10,00,00,000","10,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
547,A. B. ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
548,"A. B. ROAD SE HATKAR, RAJA GAS GODAM SE LAGA KSHETRA, SHRIRAM COLONY, SAI NAGAR, JANKIPURI KE
PASS KOTA LASHKAR, JANAKPURI, SHRIRAM VIHAR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,60,00,000","12,60,00,000","15,000","22,500"
549,"AMRA PAHAD MEHANDI WALA SEYAD, CHOTA JHARANA 58 NO. PULIYA, MADHAV NAGAR GATE NO. 1","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","6,40,00,000","6,40,00,000","15,000","22,500"
550,GOL PAHADIYA TIRAHA,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","20,00,00,000","20,00,00,000","30,000","45,000"
551,KANTA  ANCELEV  KOTA LASKAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","14,00,00,000","14,00,00,000","20,000","30,000"
552,"TIGHARA (ROAD CHODKAR), GOL PAHARIYA DISPENSARI KE PICHE HARIJAN BASTI, BAJRANG COLONY, MEHARA SAHAB KI TALEYA, NEW BAJARANG COLONY,SAHIBA KI BAGIYA","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","6,40,00,000","6,40,00,000","15,000","22,500"
553,TIGHARA ROAD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","10,00,00,000","10,00,00,000","20,000","30,000"
